2026-06-08 16:50:47.708 +07:00 [INF] ReminderBackgroundService started.
2026-06-08 16:50:50.653 +07:00 [WRN] The WebRootPath was not found: C:\HealthPlus\HealthPlus\HealthPlus\wwwroot. Static files may be unavailable.
2026-06-08 16:50:51.673 +07:00 [INF] Processing 1 due reminder(s).
2026-06-08 16:50:52.002 +07:00 [INF] [NOTIFICATION] [PUSH] UserId="1b47e22c-4661-4ce2-8708-912c2276e15e" | Uong thuoc: (no message)
2026-06-08 18:10:32.043 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 37.6590 ms
2026-06-08 18:10:46.414 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 3.6776 ms
2026-06-08 18:10:49.663 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 4.2958 ms
2026-06-08 18:10:50.372 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.0681 ms
2026-06-08 18:10:50.536 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.1318 ms
2026-06-08 18:11:26.302 +07:00 [INF] HTTP OPTIONS /api/auth/register responded 204 in 2.4472 ms
2026-06-08 18:11:35.029 +07:00 [INF] HTTP OPTIONS /api/auth/register responded 204 in 0.1512 ms
2026-06-08 18:11:39.860 +07:00 [INF] HTTP OPTIONS /api/auth/register responded 204 in 0.2394 ms
2026-06-08 18:11:40.381 +07:00 [INF] HTTP OPTIONS /api/auth/register responded 204 in 0.0742 ms
2026-06-08 18:11:40.563 +07:00 [INF] HTTP OPTIONS /api/auth/register responded 204 in 0.1009 ms
2026-06-08 18:13:21.820 +07:00 [INF] HTTP POST /api/auth/register responded 400 in 685.4391 ms
2026-06-08 18:13:44.655 +07:00 [INF] HTTP POST /api/auth/register responded 200 in 1549.8459 ms
2026-06-08 18:18:39.939 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.6634 ms
2026-06-08 18:18:41.141 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.2573 ms
2026-06-08 18:18:41.337 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.3368 ms
2026-06-08 18:18:41.537 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.1308 ms
2026-06-08 18:18:41.712 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.1055 ms
2026-06-08 18:18:41.890 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.0701 ms
2026-06-08 18:18:42.080 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.0384 ms
2026-06-08 18:28:47.173 +07:00 [INF] ReminderBackgroundService started.
2026-06-08 18:28:49.401 +07:00 [WRN] The WebRootPath was not found: C:\HealthPlus\HealthPlus\HealthPlus\wwwroot. Static files may be unavailable.
2026-06-08 18:29:51.878 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 16.3068 ms
2026-06-08 18:29:53.398 +07:00 [INF] HTTP POST /api/auth/login responded 401 in 1486.9442 ms
2026-06-08 18:31:54.467 +07:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 61.2864 ms
2026-06-08 18:31:55.058 +07:00 [INF] HTTP POST /api/auth/login responded 401 in 559.7571 ms
2026-06-08 18:56:05.076 +07:00 [INF] HTTP GET /api/users/me responded 401 in 34.3379 ms
2026-06-08 18:58:10.559 +07:00 [INF] HTTP POST /api/auth/login responded 401 in 579.5050 ms
2026-06-08 19:00:01.038 +07:00 [INF] HTTP POST /api/auth/register responded 400 in 150.6060 ms
2026-06-08 19:00:08.382 +07:00 [INF] HTTP POST /api/auth/register responded 200 in 1158.6195 ms
2026-06-08 19:00:38.458 +07:00 [INF] HTTP GET /api/users/me responded 401 in 136.5434 ms
2026-06-08 19:00:45.745 +07:00 [INF] HTTP GET /api/users/me responded 401 in 11.1583 ms
2026-06-08 19:01:28.927 +07:00 [INF] HTTP GET /api/medical-history/follow-ups responded 401 in 6.8812 ms
2026-06-08 19:01:37.905 +07:00 [INF] HTTP GET /api/reminders responded 401 in 17.8393 ms
2026-06-08 19:01:43.864 +07:00 [INF] HTTP GET /api/users/me responded 401 in 8.7975 ms
